Id	PROJECT	ASSAY	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA	diff	diffCont	order	class
7559	PRD000053	8890	1082	1077	5	77	0	0.995378927911275	1	7923	1
2326	PXD000780	35163	865	861	4	0	0	0.995375722543353	1	7924	1
14099	PRD000485	18122	4323	4303	20	0	0	0.995373583159843	1	7925	1
2635	PXD000354	30254	216	215	1	29	0	0.99537037037037	1	7926	1
11162	PRD000226	13518	432	430	2	3	1	0.99537037037037	0.997685185185185	7927	1
13927	PRD000517	18363	432	430	2	0	0	0.99537037037037	1	7928	1
13947	PXD000692	34112	216	215	1	0	0	0.99537037037037	1	7929	1
14779	PXD000218	29404	648	645	3	0	0	0.99537037037037	1	7930	1
5523	PXD001006	37107	1935	1926	9	63	0	0.995348837209302	1	7931	1
9015	PRD000721	25167	215	214	1	0	0	0.995348837209302	1	7932	1
480	PXD001091	37889	4939	4916	23	0	1	0.995343186879935	0.999797529864345	7933	1
972	PRD000471	17934	644	641	3	39	3	0.995341614906832	0.995341614906832	7934	1
15150	PRD000059	3648	644	641	3	41	1	0.995341614906832	0.998447204968944	7935	1
14038	PXD000746	34743	1502	1495	7	23	0	0.995339547270306	1	7936	1
6624	PRD000668	22197	1072	1067	5	88	0	0.995335820895522	1	7937	1
5825	PXD000385	30472	643	640	3	146	1	0.995334370139969	0.998444790046656	7938	1
12131	PRD000327	15153	1071	1066	5	0	0	0.995331465919701	1	7939	1
8764	PRD000721	24916	214	213	1	0	0	0.995327102803738	1	7940	1
9004	PRD000721	25156	214	213	1	0	0	0.995327102803738	1	7941	1
10623	PRD000214	11871	1712	1704	8	45	1	0.995327102803738	0.999415887850467	7942	1
4009	PRD000044	3325	7914	7877	37	0	2	0.995324740965378	0.999747283295426	7943	1
2632	PXD000354	30251	2780	2767	13	91	2	0.995323741007194	0.999280575539568	7944	1
5454	PXD001006	37038	1283	1277	6	32	0	0.995323460639127	1	7945	1
19315	PRD000476	17972	3413	3397	16	0	0	0.99531204219162	1	7946	1
450	PRD000232	12196	46057	45841	216	1358	6	0.995310159150618	0.999869726643073	7947	1
8689	PXD000318	30000	2132	2122	10	0	1	0.9953095684803	0.99953095684803	7948	1
8794	PRD000721	24946	213	212	1	0	0	0.995305164319249	1	7949	1
14782	PXD000218	29407	2128	2118	10	5	0	0.995300751879699	1	7950	1
4135	PRD000057	3597	23815	23703	112	0	0	0.995297081671216	1	7951	1
10996	PXD001572	42306	2551	2539	12	526	1	0.995295962367699	0.999607996863975	7952	1
13705	PRD000726	26838	5736	5709	27	248	0	0.995292887029289	1	7953	1
5487	PXD001006	37071	1911	1902	9	49	1	0.995290423861852	0.999476713762428	7954	1
5530	PXD001006	37114	1484	1477	7	45	2	0.995283018867924	0.998652291105121	7955	1
8843	PRD000721	24995	212	211	1	0	0	0.995283018867924	1	7956	1
12397	PXD000454	31121	424	422	2	51	0	0.995283018867924	1	7957	1
15169	PRD000059	3667	212	211	1	3	1	0.995283018867924	0.995283018867924	7958	1
3150	PRD000608	20293	1271	1265	6	1	0	0.995279307631786	1	7959	1
11081	PXD000455	31200	3387	3371	16	135	0	0.995276055506348	1	7960	1
4290	PRD000092	9116	423	421	2	42	2	0.995271867612293	0.995271867612293	7961	1
14772	PXD000218	29397	423	421	2	4	0	0.995271867612293	1	7962	1
8649	PRD000493	18183	4228	4208	20	0	0	0.99526963103122	1	7963	1
4010	PRD000044	3326	5495	5469	26	0	2	0.995268425841674	0.999636032757052	7964	1
7739	PRD000118	10528	14574	14505	69	2082	21	0.995265541375051	0.998559077809798	7965	1
9144	PRD000721	25296	211	210	1	0	0	0.995260663507109	1	7966	1
11295	PXD000069	27786	211	210	1	0	0	0.995260663507109	1	7967	1
483	PXD001091	37892	3584	3567	17	26	1	0.995256696428571	0.999720982142857	7968	1
10979	PXD001572	42289	3373	3357	16	433	2	0.995256448265639	0.999407056033205	7969	1
178	PRD000141	9891	2528	2516	12	1	0	0.995253164556962	1	7970	1
11930	PRD000460	17904	1053	1048	5	25	0	0.995251661918329	1	7971	1
13766	PXD001386	41325	1053	1048	5	7	0	0.995251661918329	1	7972	1
1458	PRD000054	3427	421	419	2	2	0	0.995249406175772	1	7973	1
2417	PXD000682	34028	421	419	2	36	0	0.995249406175772	1	7974	1
8624	PRD000345	15449	1262	1256	6	15	0	0.995245641838352	1	7975	1
10639	PRD000214	11887	631	628	3	104	3	0.995245641838352	0.995245641838352	7976	1
2315	PXD000780	35152	1472	1465	7	0	0	0.995244565217391	1	7977	1
6589	PRD000668	22162	2313	2302	11	506	3	0.995244271508863	0.998702983138781	7978	1
15555	PXD001072	37780	841	837	4	0	0	0.995243757431629	1	7979	1
12610	PXD000445	31026	11768	11712	56	1199	3	0.99524133242692	0.999745071380014	7980	1
1682	PRD000073	8271	420	418	2	5	0	0.995238095238095	1	7981	1
4275	PRD000092	9101	210	209	1	63	0	0.995238095238095	1	7982	1
19621	PXD000314	29945	1885	1876	9	1	0	0.995225464190981	1	7983	1
15392	PRD000544	19004	3559	3542	17	3464	10	0.995223377353189	0.997190221972464	7984	1
8692	PXD000318	30003	2093	2083	10	0	3	0.995222169135213	0.998566650740564	7985	1
7718	PXD000164	43480	12965	12903	62	2124	1	0.995217894330891	0.999922869263401	7986	1
5826	PXD000385	30473	418	416	2	63	0	0.995215311004785	1	7987	1
8883	PRD000721	25035	209	208	1	0	0	0.995215311004785	1	7988	1
5483	PXD001006	37067	1252	1246	6	36	0	0.995207667731629	1	7989	1
1245	PXD000426	30732	417	415	2	5	0	0.995203836930456	1	7990	1
2628	PXD000354	30247	2499	2487	12	115	2	0.995198079231693	0.999199679871949	7991	1
1634	PRD000073	8223	624	621	3	14	0	0.995192307692308	1	7992	1
7566	PRD000053	8897	1040	1035	5	51	1	0.995192307692308	0.999038461538462	7993	1
11215	PXD000050	27527	208	207	1	17	0	0.995192307692308	1	7994	1
13909	PRD000517	18345	416	414	2	0	0	0.995192307692308	1	7995	1
12578	PXD000023	27203	1869	1860	9	1	0	0.995184590690209	1	7996	1
7528	PRD000053	8859	1037	1032	5	51	0	0.995178399228544	1	7997	1
7617	PRD000053	8948	1866	1857	9	95	1	0.995176848874598	0.9994640943194	7998	1
13784	PXD001386	41343	1450	1443	7	9	0	0.995172413793103	1	7999	1
1584	PRD000073	8173	207	206	1	8	0	0.995169082125604	1	8000	1
10591	PRD000214	11839	207	206	1	71	1	0.995169082125604	0.995169082125604	8001	1
10595	PRD000214	11843	207	206	1	2	0	0.995169082125604	1	8002	1
13770	PXD001386	41329	414	412	2	3	0	0.995169082125604	1	8003	1
